¿Cual es el gentilicio de los nacidos en Calatayud?;Cataluyenses;Catalinos;Bilbilitanos;Bilbainos;C;Pili;2
¿Quién escribió la novela "1984"?; George Orwell; Aldous Huxley; Ray Bradbury; Isaac Asimov; A; ChatGPT;3
¿Cuál es el río más largo del mundo?; Amazonas; Nilo; Yangtsé; Misisipi; A; ChatGPT;2
¿En qué año comenzó la Primera Guerra Mundial?; 1914; 1918; 1939; 1945; A; ChatGPT;1
¿Qué película ganó el premio a la Mejor Película en los Oscar de 1994?; Titanic; Forrest Gump; El Rey León; Pulp Fiction; B; ChatGPT;2
¿Cuál es el símbolo químico del oro?; Ag; Au; Fe; Hg; B; ChatGPT;1
¿Quién escribió "Cien años de soledad"?; Mario Vargas Llosa; Gabriel García Márquez; Julio Cortázar; Isabel Allende; B; ChatGPT;3
¿En qué país se originó el deporte del cricket?; Inglaterra; India; Australia; Sudáfrica; A; ChatGPT;3
¿Cuál es el instrumento principal en una banda de jazz?; Guitarra; Saxofón; Trompeta; Batería; B; ChatGPT;1
¿Quién fue el primer presidente de los Estados Unidos?; Thomas Jefferson; George Washington; John Adams; James Madison; B; ChatGPT;1
¿En qué año se firmó la Declaración de Independencia de los Estados Unidos?; 1776; 1789; 1800; 1812; A; ChatGPT;3
¿Cuál es la montaña más alta del mundo?; K2; Mount Everest; Annapurna; Matterhorn; B; ChatGPT;1
¿Quién escribió "Romeo y Julieta"?; William Shakespeare; Jane Austen; Charles Dickens; Fyodor Dostoevsky; A; ChatGPT;1
¿Cuál es el planeta más grande del sistema solar?; Marte; Júpiter; Saturno; Neptuno; B; ChatGPT;2
¿Cuál es la moneda oficial de Japón?; Yuan; Dólar; Yen; Euro; C; ChatGPT;1
¿Cuál es el océano más grande del mundo?; Atlántico; Índico; Pacífico; Antártico; C; ChatGPT;2
¿Qué famoso físico formuló las leyes del movimiento y la ley de la gravitación universal?; Galileo Galilei; Isaac Newton; Albert Einstein; Niels Bohr; B; ChatGPT;1
¿Cuál es el proceso por el cual las plantas fabrican su propio alimento utilizando la luz solar?; Respiración; Fotosíntesis; Transpiración; Germinación; B; ChatGPT;1
¿Cual era la profesion de Audrey Hepburn en la pelicula "Desayuno com Diamantes"?;Prostituta;Fotografa;Puricultora;Asistenta Social;A;Pili;2
¿De que marca eran las gafas que Javier Roldan rompio en un partido de futbol?;Paco Rabane;Ray Ban;Carolina Herrera;Optica 2000;B;Pili;2
¿Qué dijo Chloe para echar a alguien en Cambrils?;Te quieres ir anda;Que te puto pires ya;Son las dos;Tu tiempo aquí ha concluido, chao;C;Chloe;2
¿Cuál es la identidad secreta de DJ Spiderman?;Peter Parker;Bruce Wayne;Víctor Parra;Knekro;C;Albert;1
